labels,row_type,variant,case_id,overlay_id,fault_type,present,status,plan_executable,invalid_steps,total_steps,invalid_step_rate,missing_required_checks,missing_required_evidence_tags,task_completed,top1_root_cause_id,top1_hit,bad_claims,auditable_claims,valid_review_issues,resolved_review_issues,fault_triggered,fault_recovered,model_calls,input_tokens,output_tokens,latency_ms,failures
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-CLK-001,,,True,completed,True,0,4,0.0,,,True,clock_harmonic_radiation,True,0,2,0,0,,,6,3340,1290,33592.502,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-CLK-002,,,True,completed,True,0,4,0.0,,,True,clock_harmonic_radiation,True,0,3,0,0,,,6,3340,1556,38953.343,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-CLK-003,,,True,completed,True,0,4,0.0,,,False,clock_harmonic_radiation,True,1,3,1,0,,,6,3347,1352,34845.555,claims_not_fully_supported;review_issue_unresolved;task_incomplete;unsupported_or_contradicted_claim
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-CLK-004,,,True,completed,True,0,4,0.0,,,True,clock_harmonic_radiation,True,0,3,0,0,,,6,3332,1375,33471.749,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-GND-001,,,True,completed,True,0,4,0.0,,load_correlated_ground_delta,False,shared_return_impedance,True,0,2,0,0,,,6,3328,1248,34045.514,required_evidence_tags_missing;task_incomplete
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-GND-002,,,True,completed,False,0,4,0.0,,,False,shared_return_impedance,True,0,2,0,0,,,6,3217,1195,45313.198,plan_not_executable;task_incomplete
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-GND-003,,,True,completed,False,0,4,0.0,,,False,shared_return_impedance,True,0,3,0,0,,,6,3363,1060,41583.832,plan_not_executable;task_incomplete
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-GND-004,,,True,completed,True,0,4,0.0,,,True,shared_return_impedance,True,0,2,0,0,,,6,3278,1232,33296.481,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-IFL-001,,,True,completed,True,0,4,0.0,,,True,interface_filter_placement,True,0,3,0,0,,,6,3409,1470,42132.788,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-IFL-002,,,True,completed,True,0,3,0.0,,,True,interface_filter_placement,True,0,3,0,0,,,5,2813,1224,29416.666,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-IFL-003,,,True,completed,False,0,4,0.0,,,False,interface_filter_placement,True,0,2,0,0,,,6,3298,1347,36037.161,plan_not_executable;task_incomplete
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-IFL-004,,,True,completed,True,0,3,0.0,,,True,shared_return_impedance,False,0,2,0,0,,,5,2841,1287,42585.5,top1_miss
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-NFC-001,,,True,completed,True,0,4,0.0,,,True,near_field_inductive_coupling,True,0,3,0,0,,,6,3327,1225,45947.88,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-NFC-002,,,True,completed,True,0,4,0.0,,,True,near_field_inductive_coupling,True,0,2,0,0,,,6,3298,954,26049.099,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-NFC-003,,,True,completed,False,0,3,0.0,,,False,near_field_inductive_coupling,True,0,2,0,0,,,5,2784,1172,38576.738,plan_not_executable;task_incomplete
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-NFC-004,,,True,completed,False,0,4,0.0,,,False,near_field_inductive_coupling,True,0,3,0,0,,,6,3327,1194,31758.758,plan_not_executable;task_incomplete
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-PWR-001,,,True,completed,False,0,4,0.0,,,False,power_input_filter_resonance,True,0,3,0,0,,,6,3443,1400,34104.986,plan_not_executable;task_incomplete
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-PWR-002,,,True,completed,True,0,4,0.0,,,True,power_input_filter_resonance,True,0,2,0,0,,,6,3387,1368,35805.896,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-PWR-003,,,True,completed,True,0,4,0.0,,,True,power_input_filter_resonance,True,0,3,0,0,,,6,3336,1399,34985.683,
DEVELOPMENT_V1/LIVE_SYNTHETIC_SINGLE_RUN/NOT_EXPERT_VALIDATED,evaluation,baseline,EVAL-PWR-004,,,True,completed,True,0,4,0.0,,,True,power_input_filter_resonance,True,0,2,0,0,,,6,3371,1101,30466.485,
